Series Name,Series Code,Country Name,Country Code,2014 [YR2014],Title, TestCol, TestCol
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,75.8724878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.12170732,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,81.64866944,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,63.66302439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,83.07804878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,77.23902439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,64.03502439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,80.67381364,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,61.7210708,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.12926829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,70.08912195,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.37317073,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,81.69268293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,69.10107317,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,64.38339024,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,81.05609756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,74.66863415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,61.31163415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,58.73343902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,60.22843902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,55.16004878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,57.64704878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.28536585,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,73.36631707,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,71.72241463,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,79.12602439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,66.40641463,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,80.58040627,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,83.9804878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,73.13570732,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,60.78548361,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.32926829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,62.74743902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.87317073,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,72.04307307,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,69.75320031,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,63.33352118,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,63.32437044,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,68.8884878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,63.33861517,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,68.01380488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Not classified,INX,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,81.15365854,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,75.38931707,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.39968293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,82.06097561,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.15365854,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.6902439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,75.6535122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,74.05214634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,83.58780488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,71.62,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,61.57636585,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,70.40243902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,68.21229268,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,65.95168293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,82.15585366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,KSV,71.09756098,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,74.58502439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,74.6059101,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,66.11736585,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,79.37309756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,60.83441463,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,71.71612195,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,75.04685366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,74.94196452,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,63.19044594,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,61.27438557,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,82.26097561,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,74.79480488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,67.25391713,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,69.63784383,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,49.70058537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,75.11927316,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,73.96585366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,82.20731707,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,74.18780488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,80.55309756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,79.32195122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,74.01609756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,71.45587805,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,65.08560976,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,76.77282927,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,72.85437336,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,76.72185366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle income,MIC,70.59735606,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macedonia, FYR",MKD,75.34239024,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,57.98626829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,81.74634146,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,65.85785366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,72.26739736,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,76.18070732,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,69.46390244,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,55.02595122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,63.01658537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.19439024,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,62.72163415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,74.71829268,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,NAC,79.24410183,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,64.68019512,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,77.57317073,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,61.4584878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,52.75426829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,74.81014634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.30487805,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,81.75121951,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,69.60468293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,81.40487805,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,OECD members,OED,80.12643123,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,77.08509756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Other small states,OSS,66.4473324,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,66.18336585,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,77.59514634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,74.52553659,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,68.26563415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,62.60692683,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,77.25365854,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,58.36457966,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,79.37473171,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People’s Rep.",PRK,70.07468293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,80.72195122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,72.92170732,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pacific island small states,PSS,69.91903222,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Post-demographic dividend,PST,80.47215977,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,76.54168293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,78.59680488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,75.06341463,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,70.36585366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,63.96565854,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,SAS,68.1210446,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,74.33721951,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,63.45853659,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,66.37258537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,82.64634146,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,67.93080488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,50.87878049,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.75456098,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,55.35480488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.53414634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (excluding high income),SSA,58.55747868,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,55.68221951,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,SSF,58.55885496,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Small states,SST,67.83853586,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,66.38460976,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,71.15143902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,76.71463415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,80.5195122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,81.95609756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Swaziland,SWZ,48.93473171,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,73.22926829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,70.07102439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,51.55580488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,74.034774,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,72.39720521,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,59.65580488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,74.42202439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,69.59797561,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,65.59853659,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,74.83097562,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (IDA & IBRD countries),TMN,72.2596293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,68.25914634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,72.79219512,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia (IDA & IBRD),TSA,68.1210446,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,58.55885496,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,70.44056098,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,74.14390244,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,75.1635122,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,64.94390244,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,58.46641463,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.18658537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Upper middle income,UMC,74.4096278,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,76.98614634,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,78.94146341,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,68.33902439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.93685366,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,74.23619512,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,79.77317073,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,75.62912195,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,71.91831707,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,72.90402439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,71.45499816,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,73.51182927,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,63.81819512,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,57.18212195,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,58.65919512,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,60.04704878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,57.49831707,,,
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,
Last Updated: 08/25/2016,,,,,,,
